,./Results/FashionMNIST/IS-KL
0,1.0950936853537199
1,1.6146805693044102
2,2.337285061699514
3,2.6901126423568726
4,3.7296929650542374
5,3.8189604774070562
6,4.391255680709933
7,4.368194873449777
8,4.6375601740250785
9,4.914011485941781
10,5.230874724514869
