,./Results/MNIST/IS-KL
0,1.0000000000319513
1,2.387389346284612
2,3.2705486513509374
3,5.1775194455367135
4,6.159780135918296
5,6.544609387342696
6,6.600546053292612
7,6.735426745663331
8,6.766034360087628
9,7.232846911904611
10,7.313924583232958
